No.,Time,Source,Destination,Protocol,Length,Info
6185,35.573757,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62991  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
6186,35.574633,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62992  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
6187,35.575266,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62993  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
6188,35.576116,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62994  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
6189,35.576732,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62995  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
6309,35.697998,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62996  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
6310,35.698289,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62997  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
6541,35.940344,DESKTOP-EB9QDOJ.local,scontent.fvtz1-2.fna.fbcdn.net,TCP,66,62998  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
6547,35.968047,DESKTOP-EB9QDOJ.local,scontent-bom1-1.xx.fbcdn.net,TCP,66,62999  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
6641,36.052281,DESKTOP-EB9QDOJ.local,msgr-latest.c10r.facebook.com,TCP,66,63000  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
6973,36.592333,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63001  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
7049,36.69644,DESKTOP-EB9QDOJ.local,scontent.fisb18-1.fna.fbcdn.net,TCP,66,63002  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
7546,37.442386,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63003  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
7547,37.442632,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63004  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
7550,37.452496,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63005  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
7551,37.452729,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63006  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
8308,38.455907,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63007  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
8869,39.368167,DESKTOP-EB9QDOJ.local,star.c10r.facebook.com,TCP,66,63008  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
9326,40.301061,DESKTOP-EB9QDOJ.local,star.c10r.facebook.com,TCP,66,63009  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
9419,40.489753,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63010  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
9420,40.490717,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63011  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
9628,40.748696,DESKTOP-EB9QDOJ.local,webpermissionpredictions.googleapis.com,TCP,66,63012  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
10231,42.762115,DESKTOP-EB9QDOJ.local,star.c10r.facebook.com,TCP,66,63013  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
10991,49.217146,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63014  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
10992,49.217377,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63015  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
11083,51.749779,DESKTOP-EB9QDOJ.local,a-0001.a-msedge.net,TCP,66,63016  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1
11153,52.169956,DESKTOP-EB9QDOJ.local,e7695.g.akamaiedge.net,TCP,66,63017  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1
11735,53.2347,DESKTOP-EB9QDOJ.local,40.99.9.162,TCP,66,63018  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1
12320,54.102526,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63019  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
12321,54.102782,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63020  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
12323,54.103639,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63021  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
12324,54.1039,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63022  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
12325,54.104182,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63023  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
12326,54.104371,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63024  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
12404,54.236652,DESKTOP-EB9QDOJ.local,40.99.9.162,TCP,66,[TCP Retransmission] [TCP Port numbers reused] 63018  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1
12910,55.102464,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,[TCP Retransmission] [TCP Port numbers reused] 63019  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
12911,55.102514,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,[TCP Retransmission] [TCP Port numbers reused] 63020  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
12913,55.115144,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63025  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
12914,55.11534,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63026  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
12915,55.115505,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63027  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
12916,55.11568,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63028  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
12917,55.115839,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63029  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
12918,55.115997,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63030  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
12920,55.118453,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,[TCP Retransmission] [TCP Port numbers reused] 63021  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
12921,55.118528,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,[TCP Retransmission] [TCP Port numbers reused] 63022  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
12922,55.118547,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,[TCP Retransmission] [TCP Port numbers reused] 63023  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
12923,55.118561,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,[TCP Retransmission] [TCP Port numbers reused] 63024  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
13030,55.209044,DESKTOP-EB9QDOJ.local,scontent.ftlv1-1.fna.fbcdn.net,TCP,66,63031  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
13149,55.369047,DESKTOP-EB9QDOJ.local,scontent.fbho1-1.fna.fbcdn.net,TCP,66,63032  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
13260,55.54427,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63033  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
13261,55.54491,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63034  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
13734,56.129493,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,[TCP Retransmission] [TCP Port numbers reused] 63025  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
13735,56.1298,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63035  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
13834,56.282324,DESKTOP-EB9QDOJ.local,msgr-latest.c10r.facebook.com,TCP,66,63036  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
14327,57.107125,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,[TCP Retransmission] [TCP Port numbers reused] 63019  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
14349,57.13791,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,[TCP Retransmission] [TCP Port numbers reused] 63035  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
14453,57.294709,DESKTOP-EB9QDOJ.local,msgr-latest.c10r.facebook.com,TCP,66,[TCP Retransmission] [TCP Port numbers reused] 63036  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
14987,58.137843,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,[TCP Retransmission] [TCP Port numbers reused] 63025  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
15007,58.15117,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63037  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
15065,58.241024,DESKTOP-EB9QDOJ.local,scontent.fmaa13-1.fna.fbcdn.net,TCP,66,63038  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
15426,59.052818,DESKTOP-EB9QDOJ.local,star.c10r.facebook.com,TCP,66,63039  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
15659,59.782765,DESKTOP-EB9QDOJ.local,star.c10r.facebook.com,TCP,66,63040  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
16024,61.67888,DESKTOP-EB9QDOJ.local,star.c10r.facebook.com,TCP,66,63041  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
17631,68.244892,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63042  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
17632,68.245571,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,63043  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
18276,69.202346,DESKTOP-EB9QDOJ.local,facebook.com,TCP,66,63044  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
13030,10.737953,DESKTOP-EB9QDOJ.local,http://www.keve-kiserdo.hu/portal/index.php?option=com_content&view=article&id=455:atletika-2012&catid=39:hirek&Itemid=191,Protocol,Length,Info
